#OTU ID	1xHFWxCD	2xHFWxHFD	3xHFWxCD	4xHFWxHFD	5xHFWxCD	6xHFWxHFD	7xHFWxCD	8xHFWxHFD	9xHFWxCD	10xHFWxHFD	11xHFWxHFD	12xHFWxCD	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	17xSPFxCD	18xSPFxCD	19xSPFxHFD	20xSPFxHFD	21xSPFxHFD	22xSPFxHFD	23xSPFxHFD	24xSPFxHFD
Zotu337	2	4	1	1	3	3	1	1	1	2	3	2	9	3	6	2	5	7	0	0	1	0	0	0
Zotu211	2	34	2	18	0	21	0	3	12	15	18	4	3	2	0	1	1	5	42	29	11	8	23	0
Zotu137	1	34	1	12	0	35	3	47	0	42	0	0	12	2	7	2	4	6	26	54	93	43	49	94
Zotu251	2	2	0	10	3	12	2	4	1	7	5	2	1	0	3	2	2	1	4	12	10	7	21	35
Zotu289	1	12	1	9	0	8	0	6	2	7	10	1	1	0	0	0	0	1	17	17	5	1	10	2
Zotu369	2	1	0	2	0	4	0	1	2	0	4	7	0	1	3	0	2	1	1	1	1	0	0	0
Zotu323	1	6	16	0	2	0	1	0	11	0	2	4	10	3	6	0	2	4	1	0	0	0	0	0
Zotu370	1	4	2	6	4	2	5	1	1	8	4	4	1	6	5	4	2	3	2	10	5	3	34	2
Zotu76	0	1628	0	0	0	2	0	41	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Zotu44	0	1225	2	667	0	1109	1	581	0	0	0	0	0	2	1	2	1	0	2	0	0	0	0	0
Zotu176	0	175	0	1	0	34	0	10	0	36	34	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu264	0	60	0	11	7	0	0	11	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu113	0	283	0	137	0	255	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	1558	1	1797	0	1022	1	1875	0	763	299	358	386	426	44	475	307	639	299	91	524	1	598	373
Zotu120	0	233	0	165	0	202	0	114	16	171	161	13	0	0	0	0	0	0	0	0	0	0	0	0
Zotu364	0	6	0	2	0	0	0	4	1	4	4	1	0	0	0	0	1	0	0	3	3	0	2	1
Zotu132	0	233	0	64	0	81	0	65	0	0	0	0	0	0	0	1	1	0	0	13	15	0	32	52
Zotu159	0	36	0	29	0	32	0	66	2	2	3	22	1	0	2	0	0	1	4	33	44	45	27	34
