#OTU ID	1xHFWxCD	2xHFWxHFD	3xHFWxCD	4xHFWxHFD	5xHFWxCD	6xHFWxHFD	7xHFWxCD	8xHFWxHFD	9xHFWxCD	10xHFWxHFD	11xHFWxHFD	12xHFWxCD	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	17xSPFxCD	18xSPFxCD	19xSPFxHFD	20xSPFxHFD	21xSPFxHFD	22xSPFxHFD	23xSPFxHFD	24xSPFxHFD
Zotu56	173	233	16	104	105	114	145	179	36	96	135	72	76	98	67	128	110	148	53	27	118	17	52	52
Zotu74	104	97	15	115	137	103	215	172	6	141	145	61	2	0	57	57	8	23	34	37	48	12	60	71
Zotu111	24	4	30	7	34	16	9	10	67	66	114	42	63	11	5	45	210	27	0	14	8	0	10	50
Zotu40	171	165	28	175	151	199	184	187	72	158	230	131	127	102	105	198	152	198	96	72	231	140	127	207
Zotu51	213	227	5	174	1	164	133	177	132	172	233	68	0	1	0	1	25	1	78	183	101	302	209	424
Zotu3	71	284	592	1226	2085	1989	2560	971	3865	611	450	3243	1631	2823	3478	1624	1551	3008	1319	2550	446	110	2414	1515
Zotu160	28	11	10	17	3	9	6	12	15	4	0	21	17	18	8	14	12	26	43	50	19	10	43	102
Zotu46	228	140	8	753	370	31	233	140	100	69	172	44	19	36	4	299	95	40	147	40	515	37	36	14
Zotu94	104	327	120	126	58	202	56	58	1	73	157	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu47	149	141	199	266	7	17	207	230	2	296	679	0	1	285	367	826	317	270	158	41	188	90	6	20
Zotu80	80	34	18	65	115	32	123	91	45	52	109	93	14	22	9	66	11	24	86	44	178	43	87	199
Zotu23	125	397	293	287	273	542	284	214	571	194	316	328	206	143	183	52	152	349	130	215	77	177	186	81
Zotu144	114	0	53	0	48	0	33	0	22	0	0	53	40	49	26	5	44	6	0	0	0	0	0	0
Zotu93	101	70	47	106	165	50	20	35	20	2	3	52	88	56	90	107	93	88	2	3	25	2	2	28
Zotu57	18	110	6	155	21	31	26	47	7	111	96	17	72	149	184	285	180	83	114	45	486	223	98	331
Zotu67	29	326	68	108	35	127	15	132	47	21	50	52	96	133	78	39	130	105	7	51	44	16	40	118
Zotu53	131	119	40	272	104	170	75	329	40	446	369	67	76	43	43	39	114	111	139	53	80	236	87	121
Zotu148	27	15	1	16	23	14	32	13	11	8	26	26	20	11	39	60	11	22	13	1	28	29	2	19
Zotu9	280	688	620	121	362	723	261	132	1124	460	576	693	755	600	762	142	619	930	112	387	938	242	197	1364
Zotu69	107	79	132	47	153	80	168	48	300	47	36	139	96	57	80	74	90	173	43	70	8	43	43	13
Zotu77	124	66	15	49	98	38	62	68	26	62	56	50	51	92	103	123	86	62	57	62	85	59	85	129
Zotu317	5	14	0	16	0	9	0	10	2	9	11	6	1	3	0	1	3	1	5	1	3	1	6	3
Zotu183	48	20	6	11	59	13	35	18	26	8	1	39	0	0	0	0	2	0	8	2	6	3	0	15
Zotu166	83	0	22	0	47	0	18	0	3	1	0	6	10	24	19	37	21	11	6	2	7	5	4	13
Zotu62	80	160	190	75	186	118	150	33	426	36	41	161	141	56	101	69	80	191	127	80	11	41	113	26
Zotu157	33	25	10	24	4	7	0	11	18	2	2	21	14	26	7	11	21	19	54	41	20	14	45	95
Zotu38	89	327	4	214	36	166	88	310	90	308	337	30	167	41	162	93	106	253	229	26	322	233	77	131
Zotu177	19	69	9	15	13	10	8	23	12	7	19	16	16	5	4	6	4	3	4	9	25	14	9	15
Zotu205	55	32	6	28	41	9	30	29	0	2	1	0	0	4	3	6	1	3	1	2	3	5	1	4
Zotu66	56	0	507	4	319	6	92	0	53	0	4	147	300	193	333	57	136	87	2	19	0	4	7	2
Zotu106	82	0	33	0	172	0	37	0	0	0	0	0	49	53	114	45	156	51	30	4	20	76	1	0
Zotu75	100	71	42	30	38	34	144	17	46	40	9	41	59	35	66	33	33	64	125	198	122	140	195	130
Zotu29	107	57	22	114	108	129	105	224	73	168	208	77	137	39	104	83	149	148	829	256	1268	375	444	376
Zotu85	44	66	24	72	77	39	29	144	7	148	249	7	6	9	2	2	8	9	153	41	73	23	82	71
Zotu81	88	73	136	45	120	82	167	33	197	16	25	67	72	41	54	59	80	115	50	34	3	28	21	9
Zotu61	182	78	158	72	50	169	19	66	178	123	81	274	349	295	201	162	246	214	57	111	59	68	56	32
Zotu99	9	101	2	110	35	107	21	46	1	116	180	0	2	1	1	3	1	3	162	99	28	8	178	0
Zotu186	137	12	10	4	4	10	26	3	13	5	1	17	5	7	4	4	6	8	12	42	1	2	31	0
Zotu25	513	60	579	28	616	56	103	25	216	24	18	499	468	752	297	303	686	218	8	60	7	22	26	9
Zotu112	186	29	30	24	40	46	161	19	21	17	8	50	19	47	107	7	15	30	57	47	6	14	60	24
Zotu36	2	342	1	810	2	439	5	717	2	202	377	1	3	1	1	0	0	0	369	112	284	72	24	115
Zotu16	309	246	56	287	434	311	476	359	62	388	521	241	212	172	304	575	192	278	258	231	619	215	273	391
Zotu231	20	0	3	0	17	0	7	0	4	2	3	12	19	17	10	35	14	15	1	2	19	5	1	10
Zotu229	21	7	5	3	28	0	14	0	7	2	2	8	31	7	8	8	15	19	1	2	6	1	5	6
Zotu35	68	59	151	20	117	92	117	44	587	111	75	177	273	221	253	337	185	312	3	73	91	46	55	350
Zotu279	13	0	6	0	4	0	22	3	2	1	7	1	15	1	3	2	15	4	4	4	5	3	6	5
Zotu86	41	17	11	39	41	57	41	86	15	116	244	39	41	22	41	127	69	85	26	36	53	49	20	33
Zotu151	60	5	5	9	14	7	4	7	7	3	25	5	2	7	2	4	3	3	16	66	44	14	52	95
Zotu175	15	5	3	2	46	6	17	8	6	7	5	30	17	16	19	12	5	26	7	24	24	16	31	21
Zotu129	130	0	16	0	41	0	29	0	23	0	0	58	44	159	69	24	116	16	0	2	0	0	0	0
Zotu101	71	43	62	31	20	63	11	36	82	42	36	103	145	155	99	74	102	83	24	51	21	26	33	14
Zotu21	143	214	17	107	44	91	59	201	47	255	380	75	117	71	30	117	137	292	321	175	697	536	193	485
Zotu235	88	1	2	1	44	0	33	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Zotu358	2	0	0	3	2	0	1	1	0	1	2	0	3	0	0	2	0	1	0	0	3	0	0	2
Zotu198	12	7	7	3	7	10	11	10	21	7	14	15	10	8	18	7	8	26	3	10	1	0	3	8
Zotu73	62	6	496	4	262	6	61	5	69	1	0	136	307	210	269	63	115	97	3	12	0	4	3	0
Zotu127	47	16	17	35	1	3	0	10	20	0	8	43	21	24	20	12	27	24	81	73	31	18	95	148
Zotu208	11	0	2	8	25	2	33	4	4	5	3	26	10	11	5	13	2	8	7	11	22	21	5	8
Zotu78	34	160	12	147	46	183	46	221	23	249	242	19	32	32	46	62	54	52	40	46	121	33	105	144
Zotu199	20	0	2	1	21	1	17	0	4	4	7	7	17	17	14	38	17	28	3	7	11	4	7	7
Zotu54	91	203	18	261	171	242	149	249	21	187	298	44	51	64	60	57	42	98	92	77	51	52	35	37
Zotu83	48	11	16	47	97	11	79	17	13	154	81	39	42	72	215	251	86	112	54	11	47	14	21	22
Zotu10	211	552	74	412	143	420	221	645	123	796	947	509	317	447	470	885	285	522	627	484	1117	627	775	893
Zotu31	29	529	88	452	41	699	91	317	277	315	206	176	193	104	113	112	111	274	144	333	14	139	318	73
Zotu346	8	3	1	0	1	0	0	0	0	1	1	0	5	0	0	0	3	0	3	0	2	0	4	4
Zotu164	34	3	8	0	62	1	45	1	2	0	1	16	4	39	23	100	17	40	1	2	1	8	3	2
Zotu55	69	94	8	95	74	105	129	175	6	304	248	63	38	22	93	45	47	79	76	43	196	44	72	195
Zotu207	5	8	9	10	2	5	6	6	35	5	5	5	7	5	5	4	5	12	16	13	2	11	45	1
Zotu269	10	5	0	6	6	7	9	4	1	4	5	7	5	3	3	4	5	4	5	4	5	11	3	6
Zotu174	27	12	8	12	63	9	28	8	5	6	2	13	18	11	14	29	32	15	1	2	4	4	3	1
Zotu128	3	32	8	36	39	2	42	13	8	57	40	17	46	31	57	131	38	83	7	1	2	14	2	0
Zotu1	52	5398	6	2396	69	8	2	2620	510	1811	2314	58	1821	587	1120	1135	2822	2445	3332	3465	4775	1546	5671	6138
Zotu237	56	0	12	0	9	0	7	0	0	0	0	0	12	16	12	16	37	6	1	5	0	0	0	0
Zotu118	50	33	10	65	75	20	0	22	14	5	1	13	46	36	38	67	33	57	1	2	9	0	0	27
Zotu292	1	10	0	4	3	8	2	20	1	5	5	0	4	2	1	0	0	3	2	0	1	7	0	0
Zotu233	15	2	2	0	17	0	11	0	5	4	8	2	7	14	18	41	12	13	1	2	24	5	2	6
Zotu222	6	17	5	5	4	10	2	3	37	0	0	53	8	21	16	2	22	14	1	1	1	13	0	1
Zotu15	73	341	48	265	126	319	95	251	29	638	59	148	106	79	120	80	95	146	639	87	961	935	353	576
Zotu103	10	96	0	70	0	44	3	45	26	22	42	20	24	69	53	85	60	73	45	12	67	13	26	29
Zotu256	7	21	2	23	12	0	8	18	0	9	62	5	0	0	0	0	0	0	9	3	5	3	2	1
Zotu45	85	724	42	572	250	269	162	210	116	306	396	103	82	0	1	0	2	0	6	0	3	189	0	1
Zotu162	48	6	2	16	87	8	34	16	8	15	18	14	3	11	4	14	8	12	10	14	12	5	32	20
Zotu300	9	0	2	0	4	1	3	1	2	2	1	59	0	0	0	0	0	0	0	0	2	2	0	0
Zotu142	6	37	8	44	15	26	21	42	2	3	5	2	5	1	1	2	3	1	22	29	41	18	50	46
Zotu217	11	11	0	11	7	9	11	7	8	6	11	14	10	12	2	7	7	10	0	4	21	15	1	8
Zotu234	13	16	3	7	9	8	12	4	4	4	11	5	3	6	4	13	4	10	5	2	3	2	6	6
Zotu130	58	9	18	16	74	7	62	19	16	13	21	36	12	27	15	46	8	10	19	17	50	12	21	60
Zotu71	17	162	10	170	59	164	26	74	1	206	309	3	5	1	0	4	1	5	268	148	48	13	308	0
Zotu170	57	0	20	0	56	0	268	2	0	1	0	0	0	1	0	0	0	1	1	0	1	3	1	1
Zotu204	7	6	0	4	4	6	4	13	3	17	2	4	2	1	2	1	2	7	20	9	33	6	30	31
Zotu92	26	26	1	57	22	44	21	69	2	178	227	3	0	2	0	0	0	0	28	64	202	70	142	175
Zotu242	15	3	16	6	15	9	16	4	0	7	3	3	3	0	2	1	0	0	4	26	9	16	8	22
Zotu246	45	0	8	0	22	0	45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu145	29	5	4	14	58	4	78	10	7	8	7	52	26	27	22	13	15	12	9	11	31	35	25	21
Zotu265	10	4	1	3	10	0	9	2	2	0	1	9	11	7	5	1	11	10	0	3	0	2	5	1
Zotu272	4	14	1	13	1	14	2	22	0	7	9	0	0	0	3	1	8	3	6	0	1	14	0	0
Zotu212	3	22	1	21	2	7	2	23	2	33	39	23	0	3	1	5	0	2	0	2	0	0	1	0
Zotu139	36	27	7	20	30	12	20	22	4	14	31	9	12	27	11	35	27	48	9	8	33	19	23	38
Zotu178	25	9	5	25	0	4	0	5	9	0	1	23	16	8	9	5	14	19	40	46	19	8	38	74
Zotu191	28	1	3	2	12	14	6	4	6	0	8	159	0	0	0	0	0	0	1	2	8	10	2	6
Zotu225	11	0	1	0	22	1	11	0	1	10	4	3	19	14	8	35	24	17	1	6	20	5	7	7
Zotu34	45	23	6	25	406	10	77	29	385	621	865	471	28	94	53	22	37	82	133	58	145	302	23	134
Zotu172	8	29	0	25	5	6	9	18	3	13	10	4	4	13	23	16	9	8	8	6	33	12	10	16
Zotu24	21	585	90	505	44	728	119	346	315	353	251	200	224	94	122	109	114	322	144	372	19	170	343	75
Zotu299	6	2	0	11	0	0	2	24	0	21	8	0	1	0	0	0	3	0	8	1	8	6	0	0
Zotu124	32	40	12	28	61	37	21	40	15	19	36	52	34	24	9	26	21	20	1	16	20	9	21	69
Zotu197	10	6	8	5	23	1	31	8	5	3	6	22	5	10	22	36	9	12	4	2	2	0	5	0
Zotu210	24	23	2	7	19	12	15	10	3	3	10	4	4	3	2	7	10	7	3	18	17	7	12	17
Zotu161	17	18	25	7	11	24	16	9	25	9	11	25	4	4	14	4	6	11	2	14	11	3	21	42
Zotu284	10	6	4	3	20	5	11	0	0	1	5	0	2	3	3	1	7	0	0	5	12	8	7	12
Zotu60	66	103	6	81	6	80	55	309	23	54	115	5	54	44	56	159	138	93	36	33	244	191	80	324
Zotu171	26	34	4	13	46	0	22	2	6	2	1	37	1	34	24	42	14	23	1	0	0	0	0	0
Zotu200	19	3	5	3	19	6	16	4	1	2	5	9	12	36	14	12	9	19	5	1	13	7	4	3
Zotu95	28	9	9	31	35	60	35	81	19	164	181	25	22	15	20	72	37	67	29	10	47	24	26	32
Zotu114	29	24	111	52	173	18	108	6	43	0	1	73	30	12	100	17	13	18	3	3	0	0	0	0
Zotu102	15	82	24	79	40	33	30	48	13	71	106	39	37	23	19	20	16	39	89	40	55	44	60	33
Zotu119	22	27	3	17	31	16	15	44	4	24	27	15	7	11	14	11	14	13	92	28	115	22	68	136
Zotu156	13	22	4	15	18	25	7	13	3	11	44	17	6	15	15	21	36	13	10	17	42	31	25	45
Zotu277	9	13	3	1	5	8	1	3	10	1	2	14	5	3	2	3	6	4	0	1	0	1	3	3
Zotu220	15	0	1	0	15	0	10	0	6	3	7	8	26	21	11	35	15	20	1	4	38	6	5	6
Zotu84	75	69	11	55	40	60	75	65	10	76	86	44	51	38	44	78	48	81	44	30	114	50	60	83
Zotu213	5	20	1	9	1	7	4	21	3	11	6	1	3	4	4	16	12	9	8	2	41	15	8	9
Zotu147	34	27	9	28	12	10	21	22	3	18	24	17	15	23	28	40	21	33	15	13	65	9	24	23
Zotu286	8	1	1	0	11	0	7	1	1	4	4	3	3	3	3	10	4	3	1	5	7	0	7	7
Zotu221	5	37	4	36	5	9	3	13	1	9	17	3	0	0	0	0	0	0	6	2	8	4	6	3
Zotu331	3	0	1	1	6	1	11	0	2	0	0	4	0	1	3	10	2	2	0	0	1	0	1	0
Zotu150	5	1	6	1	21	1	4	1	0	1	0	0	23	19	20	41	116	22	19	12	52	43	22	41
Zotu241	9	45	0	34	9	4	4	16	4	11	5	1	4	0	6	1	2	8	22	4	12	5	8	7
Zotu250	1	4	0	1	0	8	0	9	18	7	15	27	0	0	0	1	0	0	0	1	1	16	2	0
Zotu306	16	0	9	0	20	0	91	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	1
Zotu214	4	55	1	10	6	8	1	11	6	12	47	0	0	1	2	3	2	5	3	1	2	3	0	1
Zotu140	19	43	4	29	3	17	11	36	4	17	19	4	23	33	23	114	28	11	5	8	32	21	16	19
Zotu167	4	8	5	6	5	14	20	19	6	11	11	9	9	16	23	16	21	10	57	13	25	13	24	49
Zotu136	58	0	4	2	106	1	97	0	46	0	2	119	11	33	47	11	4	10	1	5	1	0	0	1
Zotu260	7	5	1	1	1	1	3	2	0	0	3	0	4	5	3	8	6	8	2	2	20	5	8	19
Zotu165	15	21	0	17	19	19	15	28	6	38	26	25	17	10	12	17	12	13	6	3	2	9	8	3
Zotu215	14	25	8	23	15	21	17	24	10	18	20	14	0	0	0	0	1	0	0	0	0	0	0	0
Zotu117	16	50	9	25	12	42	13	33	21	41	32	16	37	57	17	50	76	40	20	36	40	26	44	42
Zotu304	5	1	2	1	13	0	3	1	4	1	0	7	14	1	5	9	7	8	0	1	0	0	4	2
Zotu180	12	18	2	21	32	8	37	35	0	33	1	7	4	2	9	10	4	9	9	3	28	19	2	7
Zotu245	3	3	23	0	21	11	13	2	1	2	2	1	14	2	13	5	11	9	0	8	4	2	6	3
Zotu315	3	7	1	2	14	3	2	1	0	2	11	1	0	3	1	4	3	5	4	1	5	1	2	7
Zotu109	17	94	0	56	8	74	14	80	8	56	49	6	9	12	14	18	6	17	79	36	68	29	66	39
Zotu88	16	74	2	95	5	48	1	98	6	241	123	13	52	25	28	62	118	3	126	98	63	25	149	105
Zotu238	4	7	1	7	8	9	8	12	2	4	13	7	9	1	5	14	3	2	2	6	7	6	4	15
Zotu332	14	4	3	3	4	0	9	3	6	2	5	1	1	0	1	0	0	0	6	0	0	0	0	1
Zotu354	8	0	2	0	4	1	4	2	3	1	2	1	5	1	1	2	1	3	1	0	0	3	0	1
Zotu290	9	0	6	0	5	0	1	0	0	0	0	0	23	0	7	2	13	7	1	0	2	19	8	93
Zotu195	3	9	0	13	3	19	1	14	1	11	10	7	3	4	2	0	9	3	12	17	22	18	33	56
Zotu236	3	40	4	49	9	0	9	6	5	7	7	3	5	1	6	2	1	13	20	3	15	2	14	8
Zotu312	7	0	0	0	13	1	13	1	1	0	0	4	4	6	3	18	5	5	0	0	0	0	1	0
