Zotu24	d:Fungi(1.0000),p:Ascomycota(0.5300),c:Saccharomycetes(0.1802),o:Saccharomycetales(0.0613),f:Metschnikowiaceae(0.0208),g:Metschnikowia(0.0071),s:Metschnikowia_bowlesiae_SH3316807.08FU(0.0008)	+	d:Fungi
Zotu25	d:Fungi(1.0000),p:Ascomycota(0.6700),c:Saccharomycetes(0.2278),o:Saccharomycetales(0.0775),f:Metschnikowiaceae(0.0263),g:Metschnikowia(0.0090)	+	d:Fungi
Zotu26	d:Fungi(1.0000),p:Ascomycota(0.7000),c:Saccharomycetes(0.2800),o:Saccharomycetales(0.1120),f:Metschnikowiaceae(0.0403),g:Metschnikowia(0.0141)	+	d:Fungi
Zotu27	d:Fungi(1.0000),p:Ascomycota(0.6300),c:Xylonomycetes(0.0882),o:Symbiotaphrinales(0.0123),f:Symbiotaphrinaceae(0.0017),g:Symbiotaphrina(0.0002),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu28	d:Fungi(1.0000),p:Ascomycota(0.7100),c:Saccharomycetes(0.2627),o:Saccharomycetales(0.0972),f:Metschnikowiaceae(0.0340),g:Metschnikowia(0.0119),s:Metschnikowia_lochheadii_SH3313669.08FU(0.0018)	+	d:Fungi
Zotu29	d:Fungi(1.0000),p:Ascomycota(0.7500),c:Saccharomycetes(0.1800),o:Saccharomycetales(0.0432),f:Metschnikowiaceae(0.0091),g:Metschnikowia(0.0019)	+	d:Fungi
Zotu30	d:Fungi(1.0000),p:Ascomycota(0.5600),c:Xylonomycetes(0.0728),o:Symbiotaphrinales(0.0095),f:Symbiotaphrinaceae(0.0012),g:Symbiotaphrina(0.0002),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu31	d:Fungi(1.0000),p:Ascomycota(0.5100),c:Saccharomycetes(0.1683),o:Saccharomycetales(0.0555),f:Metschnikowiaceae(0.0183),g:Metschnikowia(0.0060),s:Metschnikowia_bowlesiae_SH3316807.08FU(0.0008)	+	d:Fungi
Zotu32	d:Fungi(1.0000),p:Ascomycota(0.8100),c:Saccharomycetes(0.4212),o:Saccharomycetales(0.2190),f:Metschnikowiaceae(0.1051),g:Metschnikowia(0.0505)	+	d:Fungi,p:Ascomycota
Zotu33	d:Fungi(1.0000),p:Ascomycota(0.6700),c:Saccharomycetes(0.2613),o:Saccharomycetales(0.1019),f:Metschnikowiaceae(0.0397),g:Metschnikowia(0.0155),s:Metschnikowia_cerradonensis_SH3227875.08FU(0.0017)	+	d:Fungi
